ip,longitude,latitude,country,region,city,risk
108.62.56.252,-122.329845,47.603909,US,Washington,Seattle,1
216.151.138.218,-121.945172,37.412085,US,California,San Jose,1
170.64.189.218,-74.005012,40.719938,US,New York,New York City,1
108.62.60.120,-122.329845,47.603909,US,Washington,Seattle,1
45.192.148.65,18.0649,59.33258,SE,Stockholms lan,Stockholm,1
34.70.49.158,-95.86083,41.26194,US,Iowa,Council Bluffs,1
35.246.175.1,8.681996,50.11088,DE,Hessen,Frankfurt am Main,1
198.27.96.75,-73.58781,45.50884,CA,Quebec,Montreal,1
54.36.180.66,3.17456,50.69421,FR,Hauts-de-France,Roubaix,1
185.82.212.25,14.42076,50.08804,CZ,Praha Hlavni mesto,Prague,1
34.143.195.180,103.85007,1.28967,SG,Singapore,Singapore,1
113.212.69.60,106.845493,-6.208678,ID,Jakarta Raya,Jakarta,1
14.139.59.151,77.21667,28.66667,IN,Delhi,Delhi,1
184.168.21.162,-111.92216,33.336078,US,Arizona,Tempe,1
111.70.18.152,121.564359,25.038328,TW,Taipei,Taipei,1
45.81.243.112,17.10674,48.14816,SK,Bratislavsky kraj,Bratislava,1
35.203.210.183,-0.12574,51.50853,GB,England,London,1
94.31.82.224,6.4,51.78333,DE,Nordrhein-Westfalen,Neukirchen-Vluyn,1
192.251.226.158,8.545701,52.007085,DE,Nordrhein-Westfalen,Bielefeld,1
5.167.64.47,47.25194,56.13222,RU,Chuvashskaya Respublika,Cheboksary,1
77.111.247.253,15.61667,58.41667,SE,Ostergotlands lan,Linkoping,1
79.168.231.184,-9.13333,38.71667,PT,Lisboa,Lisbon,1
200.204.150.216,-46.637398,-23.547436,BR,Sao Paulo,Sao Paulo,1
43.231.234.154,-96.80667,32.78306,US,Texas,Dallas,1
115.39.44.222,136.906386,35.181456,JP,Aichi,Nagoya,1
139.59.189.130,-0.12574,51.50853,GB,England,London,1
212.83.133.41,2.294532,48.858365,FR,Ile-de-France,Paris,1
108.62.63.89,-122.329845,47.603909,US,Washington,Seattle,1
174.138.9.183,4.89998,52.378502,NL,Noord-Holland,Amsterdam,1
89.175.29.126,37.61556,55.75222,RU,Moskva,Moscow,1
107.172.100.204,-117.58128,34.09914,US,California,Rancho Cucamonga,1
218.234.21.178,126.977947,37.566309,KR,Seoul-teukbyeolsi,Seoul,1
128.14.234.191,-77.361085,38.95845,US,Virginia,Reston,1
50.16.217.251,-77.491809,39.039474,US,Virginia,Ashburn,1
121.101.176.31,106.88324,47.90771,MN,Ulaanbaatar,Ulaanbaatar,1
107.189.28.157,6.13,49.61167,LU,Luxembourg,Luxembourg,1
90.224.68.175,15.36667,59.46667,SE,Orebro lan,Frovi,1
109.200.26.99,-1.12902,50.79509,GB,England,Gosport,1
82.66.118.168,5.68265,45.19839,FR,Auvergne-Rhone-Alpes,Fontaine,1
201.149.44.237,-99.30111,19.35583,MX,Ciudad de Mexico,Cuajimalpa,1
114.35.155.115,121.564359,25.038328,TW,Taipei,Taipei,1
216.151.137.27,-121.945172,37.412085,US,California,San Jose,1
162.243.146.27,-122.41942,37.77493,US,California,San Francisco,1
122.163.177.126,80.91667,26.85,IN,Uttar Pradesh,Lucknow,1
88.208.209.234,-2.2431,51.86568,GB,England,Gloucester,1
113.200.137.89,108.92861,34.25833,CN,Shaanxi,Xi'an,1
120.25.230.3,114.0683,22.54554,CN,Guangdong,Shenzhen,1
115.136.152.231,126.977947,37.566309,KR,Seoul-teukbyeolsi,Seoul,1
171.39.38.9,108.31667,22.81667,CN,Guangxi Zhuangzu,Nanning,1
189.79.77.153,-46.637398,-23.547436,BR,Sao Paulo,Sao Paulo,1
116.179.37.206,113.56333,37.8575,CN,Shanxi,Yangquan,1
121.185.200.210,127.126665,37.420125,KR,Gyeonggi-do,Seongnam,1
89.39.34.185,-3.683866,40.416949,ES,Madrid Comunidad de,Madrid,1
47.253.80.19,-122.330592,37.547426,US,California,San Mateo,1
92.220.10.100,5.73332,58.97005,NO,Rogaland,Stavanger,1
5.159.109.80,92.79167,56.00972,RU,Krasnoyarskiy kray,Krasnoyarsk,1
211.221.187.81,127.126665,37.420125,KR,Gyeonggi-do,Seongnam,1
211.202.2.220,126.977947,37.566309,KR,Seoul-teukbyeolsi,Seoul,1
216.151.138.100,-121.945172,37.412085,US,California,San Jose,1
103.228.119.137,106.9896,-6.2349,ID,Jawa Barat,Bekasi,1
183.96.24.113,127.126665,37.420125,KR,Gyeonggi-do,Seongnam,1
104.248.158.162,103.85007,1.28967,SG,Singapore,Singapore,1
64.43.90.77,-0.12574,51.50853,GB,England,London,1
99.194.156.96,-96.80667,32.78306,US,Texas,Dallas,1
209.59.138.182,-84.637765,42.73328,US,Michigan,Lansing,1
42.122.48.235,117.17667,39.14222,CN,Tianjin,Tianjin,1
122.176.70.148,77.21667,28.66667,IN,Delhi,Delhi,1
111.90.150.36,101.68653,3.1412,MY,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,1
185.224.128.17,4.89998,52.378502,NL,Noord-Holland,Amsterdam,1
8.130.80.220,116.39723,39.9075,CN,Beijing,Beijing,1
218.38.34.19,126.977947,37.566309,KR,Seoul-teukbyeolsi,Seoul,1
104.131.68.23,-74.16376,40.85843,US,New Jersey,Clifton,1
118.37.84.210,127.126665,37.420125,KR,Gyeonggi-do,Seongnam,1
221.151.120.235,127.126665,37.420125,KR,Gyeonggi-do,Seongnam,1
37.57.231.239,36.25272,49.98081,UA,Kharkivska oblast,Kharkiv,1
38.153.149.248,-77.05078,38.901566,US,District of Columbia,Washington,1
34.81.125.48,121.564359,25.038328,TW,Taipei,Taipei,1
64.137.112.180,-118.24357,34.052859,US,California,Los Angeles,1
129.226.93.235,103.85007,1.28967,SG,Singapore,Singapore,1
111.67.205.57,116.39723,39.9075,CN,Beijing,Beijing,1
115.85.84.106,106.845493,-6.208678,ID,Jakarta Raya,Jakarta,1
223.13.88.74,112.56028,37.86944,CN,Shanxi,Taiyuan,1
192.251.226.36,8.545701,52.007085,DE,Nordrhein-Westfalen,Bielefeld,1
216.152.252.70,-114.14688,32.67283,US,Arizona,Wellton,1
5.167.64.113,47.25194,56.13222,RU,Chuvashskaya Respublika,Cheboksary,1
107.170.235.4,-122.41942,37.77493,US,California,San Francisco,1
50.206.145.228,-122.67621,45.52345,US,Oregon,Portland,1
178.239.163.56,-0.12574,51.50853,GB,England,London,1
116.62.161.126,120.16142,30.29365,CN,Zhejiang,Hangzhou,1
66.115.149.51,-122.31096,47.62062,US,Washington,Seattle,1
179.131.10.103,-46.637398,-23.547436,BR,Sao Paulo,Sao Paulo,1
3.9.179.46,-0.12574,51.50853,GB,England,London,1
218.89.108.253,101.71276,26.58509,CN,Sichuan,Panzhihua,1
49.36.43.143,75.91667,17.68333,IN,Maharashtra,Solapur,1
34.159.168.228,8.681996,50.11088,DE,Hessen,Frankfurt am Main,1
95.141.17.220,-0.12574,51.50853,GB,England,London,1
5.167.66.125,44.00205,56.32867,RU,Nizhegorodskaya oblast',Nizhniy Novgorod,1
106.55.158.56,116.39723,39.9075,CN,Beijing,Beijing,1
45.32.37.109,139.6917,35.689506,JP,Tokyo,Tokyo,1
192.227.144.39,-78.8788,42.8825,US,New York,Buffalo,1
95.68.116.41,24.10589,56.946,LV,Riga,Riga,1
161.53.179.227,15.915,46.02944,HR,Krapinsko-zagorska zupanija,Zabok,1
118.123.105.86,104.38198,31.13019,CN,Sichuan,Deyang,1
121.163.170.177,127.126665,37.420125,KR,Gyeonggi-do,Seongnam,1
169.239.39.15,31.24967,30.06263,EG,Al Qahirah,Cairo,1
47.38.229.113,-97.32085,32.72541,US,Texas,Fort Worth,1
188.143.233.43,30.26417,59.89444,RU,Sankt-Peterburg,Saint Petersburg,1
192.241.222.7,-122.41942,37.77493,US,California,San Francisco,1
201.2.149.172,-51.083333,-29.989722,BR,Rio Grande do Sul,Alvorada,1
180.183.248.153,100.51667,13.75,TH,Krung Thep Maha Nakhon,Bangkok,1
157.230.254.228,103.85007,1.28967,SG,Singapore,Singapore,1
72.161.0.225,-104.95081,39.61721,US,Colorado,Greenwood Village,1
85.109.18.34,32.85427,39.91987,TR,Ankara,Ankara,1
178.128.237.245,-79.384019,43.653451,CA,Ontario,Toronto,1
196.229.67.9,10.16579,36.81897,TN,Tunis,Tunis,1
13.235.93.207,72.877377,19.075975,IN,Maharashtra,Mumbai,1
207.118.70.96,-104.95081,39.61721,US,Colorado,Greenwood Village,1
194.165.16.73,4.34878,50.85045,BE,Brussels Hoofdstedelijk Gewest,Brussels,1
199.249.230.154,-100.49175,31.46561,US,Texas,San Angelo,1
217.165.239.223,55.30472,25.25817,AE,Dubayy,Dubai,1
185.130.44.108,18.0649,59.33258,SE,Stockholms lan,Stockholm,1
108.62.56.145,-122.329845,47.603909,US,Washington,Seattle,1
5.167.66.38,44.00205,56.32867,RU,Nizhegorodskaya oblast',Nizhniy Novgorod,1
5.167.70.189,47.25194,56.13222,RU,Chuvashskaya Respublika,Cheboksary,1
182.165.90.235,135.50222,34.69389,JP,Osaka,Osaka,1
193.107.85.56,-21.89541,64.13548,IS,Hofudborgarsvaedi,Reykjavik,1
216.151.137.40,-121.945172,37.412085,US,California,San Jose,1
5.167.65.66,47.25194,56.13222,RU,Chuvashskaya Respublika,Cheboksary,1
112.66.96.208,110.34167,20.04583,CN,Hainan,Haikou,1
81.169.138.128,13.41053,52.52437,DE,Berlin,Berlin,1
181.225.43.226,-66.87919,10.48801,VE,Distrito Capital,Caracas,1
8.222.182.43,103.85007,1.28967,SG,Singapore,Singapore,1
188.143.233.133,30.26417,59.89444,RU,Sankt-Peterburg,Saint Petersburg,1
192.42.116.14,4.89998,52.378502,NL,Noord-Holland,Amsterdam,1
183.104.247.190,127.126665,37.420125,KR,Gyeonggi-do,Seongnam,1
62.24.181.134,-2.23743,53.48095,GB,England,Manchester,1
49.84.224.163,120.61806,31.31139,CN,Jiangsu,Suzhou,1
95.79.82.216,44.00205,56.32867,RU,Nizhegorodskaya oblast',Nizhniy Novgorod,1
174.115.175.112,-73.58781,45.50884,CA,Quebec,Montreal,1
47.160.68.103,-100.438376,31.470233,US,Texas,San Angelo,1
188.169.36.27,44.75361,41.82458,GE,Mtskheta-Mtianeti,Zahesi,1
49.89.228.64,118.283333,33.933333,CN,Jiangsu,Suqian,1
138.197.116.194,-74.16376,40.85843,US,New Jersey,Clifton,1
24.2.160.242,-71.01838,42.08343,US,Massachusetts,Brockton,1
182.23.56.94,109.1402,-6.8694,ID,Jawa Tengah,Tegal,1
